Date,Open,High,Low,Close,Adj Close,Volume
2017-07-17,123.330002,126.029999,123.269997,125.690002,116.201088,37481800
2017-07-24,125.449997,125.660004,122.820000,123.889999,114.536980,35463900
2017-07-31,123.459999,126.019997,123.160004,124.930000,115.498459,39697000
2017-08-07,124.839996,126.459999,124.150002,126.430000,117.139252,36199800
2017-08-14,125.989998,127.150002,124.709999,126.620003,117.315292,35615200
2017-08-21,126.769997,127.449997,126.269997,127.320000,117.963860,34129600
2017-08-28,126.919998,128.520004,126.430000,126.750000,117.435730,38950100
2017-09-04,127.690002,129.570007,127.690002,129.000000,119.766502,47709500
2017-09-11,127.870003,128.050003,126.279999,126.860001,117.779671,48597800
2017-09-18,126.500000,126.730003,125.330002,126.199997,117.166946,32263400
2017-09-25,126.320000,127.269997,123.970001,124.760002,115.829987,49245800
2017-10-02,124.809998,125.000000,123.029999,123.589996,114.743721,40082800
2017-10-09,123.779999,125.940002,123.639999,125.849998,117.078468,29532100
2017-10-16,125.529999,126.089996,123.639999,123.980003,115.338791,37944100
2017-10-23,124.160004,124.489998,122.419998,123.239998,114.650368,42335600
2017-10-30,123.860001,125.699997,123.559998,125.639999,116.883095,40623100
2017-11-06,125.930000,126.800003,123.959999,124.099998,115.694908,34287000
2017-11-13,124.800003,126.669998,124.309998,126.389999,117.829803,34478600
2017-11-20,125.910004,127.290001,125.910004,126.800003,118.212051,17332800
2017-11-27,126.860001,127.690002,124.440002,126.550003,117.978981,60823100
2017-12-04,125.919998,128.229996,125.809998,126.690002,118.350700,50245200
2017-12-11,126.860001,128.589996,125.669998,128.350006,119.901413,34023500
2017-12-18,127.970001,128.000000,123.949997,124.769997,116.557068,39292500
2017-12-25,124.980003,127.120003,124.970001,126.860001,118.760155,25105700
2018-01-01,126.489998,126.510002,125.070000,125.709999,117.683571,44976600
2018-01-08,125.989998,126.029999,122.660004,124.519997,116.569542,61877700
2018-01-15,125.169998,125.639999,122.980003,123.059998,115.202766,39671100
2018-01-22,123.449997,124.199997,122.540001,123.589996,115.698929,48985500
2018-01-29,122.970001,122.970001,119.239998,119.580002,111.944969,84909700
2018-02-05,119.169998,121.820000,117.790001,117.940002,110.639572,86629400
2018-02-12,118.559998,119.300003,117.470001,118.709999,111.361900,47822000
2018-02-19,118.279999,118.510002,116.510002,118.129997,110.817795,38713900
2018-02-26,118.680000,119.620003,117.260002,118.349998,111.024193,52960900
2018-03-05,118.750000,118.989998,117.589996,117.910004,110.834488,29229100
2018-03-12,118.309998,120.489998,118.190002,119.809998,112.620461,36273800
2018-03-19,119.209999,120.820000,118.110001,120.169998,112.958870,43066600
2018-03-26,120.000000,122.290001,119.669998,121.900002,114.585060,34513200
2018-04-02,121.349998,122.360001,119.769997,121.099998,113.833069,44980700
2018-04-09,120.639999,121.889999,120.349998,120.900002,113.887970,29841600
2018-04-16,120.230003,121.580002,118.430000,118.459999,111.589485,35675300
2018-04-23,118.330002,118.949997,116.940002,118.889999,111.994568,33798200
2018-04-30,119.080002,119.559998,118.230003,118.989998,112.088753,31573100
2018-05-07,118.970001,119.360001,117.980003,119.230003,112.562462,28946400
2018-05-14,118.800003,118.989998,116.089996,117.209999,110.655388,41352000
2018-05-21,117.129997,119.839996,116.849998,119.620003,112.930641,35470100
2018-05-28,120.790001,122.519997,119.849998,120.300003,113.572617,52773100
2018-06-04,120.110001,120.489998,118.419998,119.529999,113.107849,40634600
2018-06-11,119.070000,121.089996,118.629997,120.379997,113.912209,39798700
2018-06-18,120.480003,121.230003,119.900002,120.529999,114.054146,29224400
2018-06-25,120.660004,122.500000,120.639999,121.720001,115.180191,40261300
2018-07-02,121.739998,122.919998,121.290001,122.750000,116.154846,22011100
2018-07-09,122.070000,122.870003,121.809998,122.720001,116.389412,27485200
2018-07-16,122.209999,122.449997,120.699997,120.760002,114.530533,32247600
2018-07-23,120.379997,120.379997,119.139999,119.459999,113.297607,39346300
2018-07-30,118.989998,119.860001,118.070000,119.220001,113.069992,37834700
2018-08-06,119.540001,121.050003,118.570000,120.660004,114.691521,30790000
2018-08-13,120.250000,121.389999,120.029999,120.980003,114.995697,28762200
2018-08-20,121.639999,122.330002,121.070000,122.290001,116.240891,27029200
2018-08-27,121.779999,121.919998,120.620003,121.000000,115.014702,31930400
2018-09-03,119.959999,120.400002,118.989998,119.129997,113.237221,48544800
2018-09-10,119.169998,119.599998,118.300003,118.550003,112.939766,25586100
2018-09-17,118.180000,118.820000,116.190002,117.099998,111.558403,43826000
